DD/MM/YYYY HH:MM, Saturation, Watering
27/06/2020 11:52, 94.0, False, False
27/06/2020 12:07, 94.0, False, False
27/06/2020 12:22, 94.3, False, False
27/06/2020 12:37, 94.3, False, False
27/06/2020 12:52, 94.0, False, False
27/06/2020 13:07, 94.0, False, False
27/06/2020 13:22, 94.0, False, False
27/06/2020 13:37, 93.8, False, False
27/06/2020 13:52, 94.0, False, False
27/06/2020 14:07, 94.0, False, False
27/06/2020 14:22, 93.8, False, False
27/06/2020 14:34, 93.8, False, False
27/06/2020 14:43, 93.8, False, False
27/06/2020 14:58, 93.8, False, False
27/06/2020 15:13, 93.8, False, False
27/06/2020 15:29, 93.8, False, False
27/06/2020 15:44, 94.0, False, False
27/06/2020 15:59, 93.5, False, False
27/06/2020 16:14, 94.0, False, False
27/06/2020 16:29, 93.8, False, False
27/06/2020 16:36, 93.8, False, False
27/06/2020 16:51, 93.8, False, False
27/06/2020 16:56, 93.8, False, False
27/06/2020 17:11, 93.8, False, False
27/06/2020 17:11, 93.5, False, False
